inventor_name_first
daniel
stephen
dane
brian
thomas
michael
don
david
mikel
andrew
landon
olsson
rawdon
shuhui
jeffrey
william
ajay
avkash
jennifer
shuvamoy
jon
jack
jeff
mary
ross
stan
deana
perry
byoung
eugene
joseph
martin
nedzad
warren
jieping
kenneth
magdiel
timothy
emmanuel
jianming
momtchil
nagabhushana
h
m
s
bo
ji
ke
om
po
qi
su
amr
amy
chi
fan
jan
jen
jia
jie
joy
jun
lan
lev
lew
lex
lui
man
pal
pat
qin
ray
rei
ren
roi
shi
ted
tom
uma
xun
yan
yue
aart
ajit
ajoy
alpa
aman
amir
anil
anqi
arya
bill
brad
carl
chad
chao
curt
dale
dean
deep
dirk
emil
evan
fadi
fang
gary
gene
gert
glen
hawk
hoda
hugo
igor
jari
jike
jing
jiri
keir
keke
koen
kofi
koji
kurt
luis
luke
matt
mick
ming
mona
naga
nicu
ning
noah
oleg
oren
ozan
pero
phil
ping
radu
rama
ravi
reid
rong
samy
saul
sesh
sook
timo
tina
toni
utku
venu
vita
wade
wing
yong
yuan
aalap
aaron
ahmed
allan
allen
alpha
amber
amith
anish
anmol
anosh
anton
ashok
awais
binil
borna
brent
bruno
caleb
chrix
clark
cliff
dayne
devin
devon
dilip
durga
elvir
emily
eytan
fedor
floyd
gavin
georg
glenn
gopal
hadar
haluk
harry
heidi
helen
horia
husam
issac
javed
jerry
jinyi
jorge
julia
karim
katja
ketan
leana
liang
lifan
lorna
lucas
manas
marco
maxim
megan
meher
mitul
moshe
murad
nadav
nakul
namit
naval
necip
nello
nisha
nitin
omkar
oscar
osman
padma
peter
polly
qiyan
raghu
ramin
ramya
roger
rosie
rukma
sadik
samir
sammy
sapna
sarah
scott
seema
sehul
serge
seyed
steve
suhas
supra
tamas
tessa
tonny
trent
ullas
vamsi
vinod
vivek
wendy
xinli
yaron
yitao
young
youqi
yushi
yusuf
yuwei
zarko
aditya
alexey
ameesh
anitha
anurag
arijit
arvind
ashish
ashley
ashwin
audrey
avijit
bahram
balaji
bardia
blaine
botond
brooke
caesar
chetan
damian
daphne
darren
deepak
dermot
duncan
durban
eamonn
edmund
emilie
fanglu
felice
ferris
florin
gaurav
gerard
gideon
girish
giulia
giyora
gokhan
gunnar
hankyu
hector
holger
hollis
howard
hyoung
ioanis
ismail
jaewon
jayson
jerome
jeyhan
jinfan
joydip
junwei
junzhi
kannan
karmel
kartik
khaled
kilian
kristi
laszlo
lintao
lowell
mahima
manish
marcel
marcos
marian
marios
michal
milind
najeeb
naveen
navraj
nawaaz
niklas
nilesh
palash
petros
pierre
pietro
prasad
preeta
radoje
raefer
rafael
rakesh
ramani
renato
ritesh
rongfu
rukman
ruofei
rushin
samuel
sanjiv
seagen
shinko
somdeb
sophia
sriram
stacie
stuart
su-lin
sumeet
tanvir
taylor
te-won
tejash
travis
venkat
vitaly
waheed
wesley
winton
xinmei
xinwen
yanzhu
yihong
yinyin
youzhi
zhaobo
zhenyu
ziming
aashish
abhijit
alfredo
anatoli
anthony
antonio
bernard
bhaskar
cauligi
charlie
clayton
dimitry
eleanor
eui-suk
evgueni
fethiye
forrest
geetika
georges
grahame
harshal
heather
herbert
hermann
hiroshi
hitoshi
hongtao
it-beng
jacques
jarratt
jarrell
jaydeep
jeanine
jingwen
junichi
kailash
karlton
khemdut
krishna
lap-fai
lizhong
longbin
malcolm
manfred
melanie
melinda
micheal
mikhail
mohamed
mustafa
nagaraj
narayan
nemmara
nicolas
olivier
patrick
revathi
roberto
rolland
rukmini
ryszard
sandesh
sanjeev
sathiya
saurabh
shaheen
shaowen
shaw-yi
sheldon
shipeng
shumeet
shuosen
sourabh
srikant
sungeun
surojit
takashi
tanveer
terence
tetsuro
tetsuya
tihomir
wei-hao
wei-lun
weijian
wen-lin
windsor
yasmina
yiching
yonghui
yunshan
yunsong
zhaohui
adrienne
amitabha
bernardo
bradford
chen-nee
chiu-hua
clarence
claribel
clifford
dharmesh
evimaria
gheorghe
hariraam
hongfeng
jeremiah
jiazheng
jonathan
junghoon
kimberly
krishnan
kwan-min
lakshman
laurence
liang-yu
ljubomir
madeline
mahender
masanori
matthias
mohammad
mohammed
nicholas
prashant
qiaojuan
qingzhou
rajarshi
ratinder
ravindra
santhiya
sarabjit
sayandev
shailesh
shaorong
soorgoli
sunghyun
sungwook
terrance
terrence
tzu-chin
umeshwar
weiqiang
wen-syan
xian-wei
xianghui
xiangrui
yen-ting
zhanglei
zulfikar
aleksandr
chaitanya
chia chin
christian
christina
dasarathi
debajyoti
debashish
elizabeth
erikheath
francisco
frederick
gianmauro
jean-marc
jianqiang
kartikeya
katherine
mauritius
nathanael
nathanial
nathaniel
pengcheng
rastislav
ruei-sung
siddharth
sittichai
sreenivas
su khiong
theodoros
venkitesh
viet thuc
yen-kuang
youngkwan
debprakash
jacqueline
james (bo)
kristopher
manjirnath
marc eliot
ming-hsuan
muralidhar
narasimhan
shashikant
vinuprasad
yuh-cherng
anca-andrea
chandrakant
curtis jyun
debi prasad
jean-michel
jean-pierre
myung-kyung
nikhilkumar
ramakrishna
srinivassan
subramaniam
subramoniam
venkeepuram
viatcheslav
chandramohan
lakshmipathi
ramakrishnan
vijayshankar
jean-francois
krishnamurthy
michael-david
parthasarathy
gurpreet singh
vinaitheerthan
bob
ivo
wil
todd
ashis
chuck
jacky
marko
paris
yefim
cheryl
jerimy
jihong
julian
salman
terrill
heinrich
lou
fenno
birgit
gutman
draguna
felicia
guenter
nianjun
moninder
zhongfei
hafeesmon
hyun-ryong
kay
jamie
sidney
jai jit
eli
alec
hany
raul
sara
syam
ganna
isaac
manal
mauro
zijad
ernest
jiuliu
lucian
eduardo
gerardo
stewart
suzanne
hung-han
jatinder
kristine
sreerupa
vontella
nickolaos
vlatcheslav
so
ken
amanda
hongjhe
leronzo
shahram
antonius
robert m
yuanchen
bryan glenn
lane
bernadene
e
sai
erin
levi
zuyi
cesar
haris
kanji
rayid
yinan
zorik
anbang
carrie
eshcar
evgeny
hideyo
shafer
sheena
weimin
yaacov
abigail
anatoly
prakash
samarth
ekpedeme
hannaneh
huazhong
hyungsul
jing-yun
kristian
parasara
shrikant
veronica
a corbett
zhaozhang
kong
lilian
yu-wei
supriyo
rhoderik
horace
kelsyn
regina
stanislav
camille
vijay varadachari
d
p
an
jc
moe
yao
harr
hugh
nick
nora
setu
slav
alwin
anker
arila
becky
carey
